Address*,City*,State* (Abbreviation),Zip*,Phone No*,Opening Hours (Monday),Monday Start Time,Monday End Time,Opening Hours (Tuesday),Tuesday Start Time,Tuesday End Time,Opening Hours (Wednesday),Wednesday Start Time,Wednesday End Time,Opening Hours (Thursday),Thursday Start Time,Thursday End Time,Opening Hours (Friday),Friday Start Time,Friday End Time,Opening Hours (Saturday),Saturday Start Time,Saturday End Time,Opening Hours (Sunday),Sunday Start Time,Sunday End Time,"Fuel Type* (All, CSV)",DBE (Disadvantage Enterprise Business) (Blank/All/CSV),Hedge Orders (Yes/No/Blank),Water Refueling (Yes/No/Blank),States Where You Deliver (All/CSV),Specific Radius
Clear Diesel,AZ - Arizona,Women-Owned Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Dye Diesel,AR - Arkansas,Disabled Veteran-Owned Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerosene,CA - California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,CO - Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jet,CT - Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethanol,DE - Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Etherin,FL - Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Oil,GA - Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,HI - Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID - Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IL - Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IN - Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IA - Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KS - Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KY - Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LA - Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ME - Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MD - Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MA - Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MI - Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MN - Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MS - Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MO - Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MT - Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NE - Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NV - Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NH - New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NJ - New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NM - New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NY - New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NC - North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ND - North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OH - Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OK - Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OR - Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA - Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RI - Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SC - South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SD - South Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TN - Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TX - Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UT - Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VT - Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VA - Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WA - Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WV - West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WI - Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WY - Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DC - District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PR - Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
